college_id,college_name,state,city,exam_accepted,closing_rank,annual_fees_inr
1,IIT Bombay,Maharashtra,Mumbai,JEE MAIN,1500,180000
2,IIT Delhi,Delhi,Delhi,JEE MAIN,800,175000
3,IIT Madras,Tamil Nadu,Chennai,JEE MAIN,1100,172000
4,IIT Kharagpur,West Bengal,Kharagpur,JEE MAIN,2000,168000
5,IIT Kanpur,Uttar Pradesh,Kanpur,JEE MAIN,1800,170000
6,IIT Roorkee,Uttarakhand,Roorkee,JEE MAIN,2500,165000
7,IIT Hyderabad,Telangana,Hyderabad,JEE MAIN,3200,162000
8,IIT Guwahati,Assam,Guwahati,JEE MAIN,3800,160000
9,IIT Bhubaneswar,Odisha,Bhubaneswar,JEE MAIN,7000,158000
10,IIT Gandhinagar,Gujarat,Gandhinagar,JEE MAIN,6500,156000
11,IIT Jodhpur,Rajasthan,Jodhpur,JEE MAIN,8000,155000
12,IIT Patna,Bihar,Patna,JEE MAIN,8500,153000
13,IIT Indore,Madhya Pradesh,Indore,JEE MAIN,7500,157000
14,IIT Mandi,Himachal Pradesh,Mandi,JEE MAIN,9500,150000
15,IIT Ropar,Punjab,Ropar,JEE MAIN,9000,151000
16,IIT Tirupati,Andhra Pradesh,Tirupati,JEE MAIN,11000,148000
17,IIT Palakkad,Kerala,Palakkad,JEE MAIN,12000,147000
18,IIT Jammu,Jammu and Kashmir,Jammu,JEE MAIN,13000,145000
19,IIT Dharwad,Karnataka,Dharwad,JEE MAIN,13500,144000
20,IIT Bhilai,Chhattisgarh,Bhilai,JEE MAIN,14000,143000
21,IIT Varanasi (BHU),Uttar Pradesh,Varanasi,JEE MAIN,4500,163000
22,IIT (ISM) Dhanbad,Jharkhand,Dhanbad,JEE MAIN,6000,155000
23,IIT Nagpur (VNIT),Maharashtra,Nagpur,JEE MAIN,10000,133000
24,NIT Trichy,Tamil Nadu,Tiruchirappalli,JEE MAIN,4500,145000
25,NIT Warangal,Telangana,Warangal,JEE MAIN,5000,142000
26,NIT Karnataka,Karnataka,Surathkal,JEE MAIN,5500,145000
27,NIT Calicut,Kerala,Calicut,JEE MAIN,6000,140000
28,NIT Rourkela,Odisha,Rourkela,JEE MAIN,6500,138000
29,NIT Allahabad,Uttar Pradesh,Prayagraj,JEE MAIN,7000,135000
30,NIT Durgapur,West Bengal,Durgapur,JEE MAIN,9000,130000
31,NIT Silchar,Assam,Silchar,JEE MAIN,16000,125000
32,NIT Jamshedpur,Jharkhand,Jamshedpur,JEE MAIN,14000,128000
33,NIT Kurukshetra,Haryana,Kurukshetra,JEE MAIN,11000,132000
34,NIT Nagpur (VNIT),Maharashtra,Nagpur,JEE MAIN,10000,133000
35,NIT Bhopal (MANIT),Madhya Pradesh,Bhopal,JEE MAIN,12000,130000
36,NIT Jalandhar,Punjab,Jalandhar,JEE MAIN,13000,129000
37,NIT Raipur,Chhattisgarh,Raipur,JEE MAIN,17000,122000
38,NIT Goa,Goa,Goa,JEE MAIN,15000,126000
39,NIT Srinagar,Jammu and Kashmir,Srinagar,JEE MAIN,22000,115000
40,NIT Hamirpur,Himachal Pradesh,Hamirpur,JEE MAIN,18000,120000
41,NIT Manipur,Manipur,Imphal,JEE MAIN,30000,108000
42,NIT Sikkim,Sikkim,Gangtok,JEE MAIN,32000,105000
43,NIT Meghalaya,Meghalaya,Shillong,JEE MAIN,33000,104000
44,NIT Mizoram,Mizoram,Aizawl,JEE MAIN,35000,102000
45,NIT Agartala,Tripura,Agartala,JEE MAIN,28000,110000
46,NIT Arunachal Pradesh,Arunachal Pradesh,Itanagar,JEE MAIN,36000,100000
47,NIT Delhi,Delhi,Delhi,JEE MAIN,8000,140000
48,NIT Puducherry,Puducherry,Puducherry,JEE MAIN,24000,112000
49,NIT Andhra Pradesh,Andhra Pradesh,Tadepalligudem,JEE MAIN,26000,111000
50,NIT Uttarakhand,Uttarakhand,Srinagar Garhwal,JEE MAIN,27000,110000
51,IIIT Hyderabad,Telangana,Hyderabad,JEE MAIN,2800,285000
52,IIIT Bangalore,Karnataka,Bangalore,JEE MAIN,3500,290000
53,IIIT Delhi,Delhi,Delhi,JEE MAIN,2200,295000
54,IIIT Allahabad,Uttar Pradesh,Prayagraj,JEE MAIN,4200,175000
55,IIIT Gwalior,Madhya Pradesh,Gwalior,JEE MAIN,5000,170000
56,IIIT Jabalpur,Madhya Pradesh,Jabalpur,JEE MAIN,6800,165000
57,IIIT Vadodara,Gujarat,Vadodara,JEE MAIN,7200,168000
58,IIIT Lucknow,Uttar Pradesh,Lucknow,JEE MAIN,6000,172000
59,IIIT Kancheepuram,Tamil Nadu,Kancheepuram,JEE MAIN,9000,160000
60,IIIT Pune,Maharashtra,Pune,JEE MAIN,8000,175000
61,IIIT Kalyani,West Bengal,Kalyani,JEE MAIN,10000,158000
62,IIIT Una,Himachal Pradesh,Una,JEE MAIN,11000,155000
63,IIIT Sri City,Andhra Pradesh,Chittoor,JEE MAIN,9500,162000
64,IIIT Nagpur,Maharashtra,Nagpur,JEE MAIN,8500,170000
65,IIIT Naya Raipur,Chhattisgarh,Raipur,JEE MAIN,12000,150000
66,BITS Pilani,Rajasthan,Pilani,JEE MAIN,3000,490000
